x (cm), y/2 (cm)
0,	6.23
20,	6.43
40,	6.55
60,	6.73
80,	6.60
100,	7.03
120,	7.18
140,	7.30
160,	7.44
180,	4.56
200,	7.70
220,	7.80
240,	7.92
260,	8.02
280,	8.14
300,	8.00
320,	8.30
340,	8.42
360,	8.50
380,	8.40
400,	8.67
420,	8.75
440,	8.82
460,	8.90
480,	8.95
500,	9.02
520,	9.10
540,	9.15
560,	9.20
580,	9.25
600,	9.45
620,	9.35
640,	9.40
660,	9.45
680,	9.48
700,	9.53
720,	9.55
740,	9.60
760,	9.55
780,	9.65
800,	9.68
820,	9.70
840,	9.60
860,	9.73
880,	9.75
900,	9.65
920,	9.78
940,	9.77
960,	9.80
980,	9.80
1000,	9.80
